size,sex,category,fit,w,h
M,남성,상의,보통이에요,76,170
L,남성,상의,보통이에요,74,181
L,남성,상의,보통이에요,66,173
XL,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,66,170
XL,남성,상의,커요,68,178
L,남성,상의,커요,67,168
L,남성,상의,커요,67,168
L,남성,상의,커요,67,168
S,여성,상의,보통이에요,50,162
S,남성,상의,보통이에요,60,168
L,남성,상의,보통이에요,58,178
S,여성,상의,보통이에요,58,168
L,남성,상의,보통이에요,72,173
L,남성,상의,보통이에요,72,175
L,남성,상의,보통이에요,60,175
L,남성,상의,커요,69,173
L,남성,상의,커요,69,173
L,남성,상의,보통이에요,74,180
L,남성,상의,보통이에요,73,174
L,남성,상의,보통이에요,75,183
L,남성,상의,보통이에요,65,185
L,남성,상의,커요,73,175
L,남성,상의,보통이에요,77,174
L,남성,상의,보통이에요,70,169
L,남성,상의,보통이에요,70,176
L,남성,상의,보통이에요,70,171
L,남성,상의,보통이에요,71,171
L,남성,상의,보통이에요,67,172
M,남성,상의,보통이에요,64,169
M,남성,상의,보통이에요,64,169
M,여성,상의,보통이에요,55,160
M,남성,상의,보통이에요,67,172
M,남성,상의,보통이에요,68,173
M,남성,상의,보통이에요,76,170
M,남성,상의,보통이에요,76,170
M,남성,상의,보통이에요,76,170
M,남성,상의,보통이에요,54,174
M,남성,상의,커요,60,170
M,남성,상의,보통이에요,66,170
M,남성,상의,보통이에요,78,174
M,남성,상의,보통이에요,70,170
M,남성,상의,보통이에요,63,167
S,여성,상의,보통이에요,47,166
XL,남성,상의,보통이에요,63,189
XL,남성,상의,보통이에요,85,173
XL,남성,상의,보통이에요,72,178
XL,남성,상의,보통이에요,82,181
XL,남성,상의,보통이에요,80,178
XS,여성,상의,보통이에요,52,160
XL,남성,상의,보통이에요,75,179
XL,남성,상의,보통이에요,76,183
XL,남성,상의,커요,90,180
L,남성,상의,커요,74,169
S,여성,상의,보통이에요,52,162
S,여성,상의,보통이에요,52,162
S,여성,상의,보통이에요,50,157
L,남성,상의,커요,72,180
L,남성,상의,커요,72,180
L,남성,상의,커요,72,180
L,남성,상의,보통이에요,78,180
L,남성,상의,보통이에요,69,175
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,69,182
L,남성,상의,보통이에요,82,173
L,남성,상의,보통이에요,67,172
L,남성,상의,보통이에요,73,175
L,남성,상의,보통이에요,85,185
L,남성,상의,보통이에요,85,185
M,남성,상의,보통이에요,75,174
M,남성,상의,보통이에요,60,167
M,남성,상의,커요,60,170
M,남성,상의,보통이에요,67,179
M,남성,상의,보통이에요,75,174
XL,남성,상의,보통이에요,90,181
XL,남성,상의,보통이에요,81,176
L,남성,상의,보통이에요,79,181
L,남성,상의,보통이에요,86,178
L,남성,상의,보통이에요,88,178
S,남성,상의,보통이에요,68,169
L,남성,상의,보통이에요,75,178
L,남성,상의,보통이에요,65,175
XL,남성,상의,커요,82,172
XL,남성,상의,보통이에요,78,184
L,남성,상의,보통이에요,82,180
L,남성,상의,보통이에요,74,181
L,남성,상의,보통이에요,71,176
L,남성,상의,보통이에요,85,180
L,남성,상의,보통이에요,71,171
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,70,178
L,남성,상의,보통이에요,74,181
L,남성,상의,보통이에요,74,181
L,남성,상의,보통이에요,85,180
L,남성,상의,보통이에요,86,172
M,남성,상의,보통이에요,68,164
M,남성,상의,보통이에요,68,164
M,남성,상의,보통이에요,70,177
M,남성,상의,보통이에요,62,171
M,남성,상의,보통이에요,57,175
M,남성,상의,보통이에요,58,180
M,여성,상의,보통이에요,68,170
M,여성,상의,보통이에요,68,170
M,남성,상의,보통이에요,62,163
L,남성,상의,보통이에요,73,174
L,남성,상의,보통이에요,93,187
L,남성,상의,보통이에요,70,183
L,남성,상의,보통이에요,76,178
L,남성,상의,보통이에요,76,178
L,남성,상의,보통이에요,76,178
L,남성,상의,보통이에요,75,173
M,남성,상의,보통이에요,80,186
M,남성,상의,보통이에요,85,183
S,여성,상의,보통이에요,37,155
S,여성,상의,커요,58,169
XS,남성,상의,보통이에요,70,174
L,남성,상의,보통이에요,70,175
XL,남성,상의,보통이에요,72,172
L,남성,상의,보통이에요,85,170
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,74,181
L,남성,상의,보통이에요,72,175
L,남성,상의,보통이에요,72,175
L,남성,상의,보통이에요,85,174
